0 0 
0 2 1 11 3 0 
0 2 1 12 3 0 
0 2 1 4 5 0 
0 2 1 4 6 0 
0 2 1 7 4 0 
0 2 1 8 4 0 
0 2 1 9 4 0 
0 2 1 10 4 0 
0 2 1 11 4 0 
0 2 1 12 4 0 
0 2 1 6 5 0 
0 2 1 7 5 0 
0 2 1 8 5 0 
0 2 1 9 5 0 
0 2 1 10 5 0 
0 2 1 11 5 0 
0 2 1 12 5 0 
0 2 1 7 6 0 
0 2 1 8 6 0 
0 2 1 9 6 0 
0 2 1 10 6 0 
0 2 1 11 6 0 
0 2 1 12 6 0 
0 2 1 8 7 0 
0 2 1 7 9 0 
0 2 1 7 10 0 
0 2 1 7 11 0 
0 2 1 7 12 0 
0 2 1 8 9 0 
0 2 1 8 10 0 
0 2 1 8 11 0 
0 2 1 8 12 0 
0 2 1 10 9 0 
0 2 1 9 11 0 
0 2 1 9 12 0 
0 2 1 10 11 0 
0 2 1 10 12 0 
0 2 1 12 11 0 
0 1 4 3 5 0 
0 1 4 3 6 0 
0 1 7 4 3 0 
0 1 8 4 3 0 
0 1 9 4 3 0 
0 1 10 4 3 0 
0 1 11 3 4 0 
0 1 12 3 4 0 
0 1 3 6 5 0 
0 1 7 3 5 0 
0 1 8 3 5 0 
0 1 9 3 5 0 
0 1 10 3 5 0 
0 1 3 11 5 0 
0 1 3 12 5 0 
0 1 7 3 6 0 
0 1 8 3 6 0 
0 1 9 3 6 0 
0 1 10 3 6 0 
0 1 3 11 6 0 
0 1 3 12 6 0 
0 1 8 7 3 0 
0 1 7 9 3 0 
0 1 7 10 3 0 
0 1 7 11 3 0 
0 1 7 12 3 0 
0 1 8 9 3 0 
0 1 8 10 3 0 
0 1 8 11 3 0 
0 1 8 12 3 0 
0 1 10 9 3 0 
0 1 9 11 3 0 
0 1 9 12 3 0 
0 1 10 11 3 0 
0 1 10 12 3 0 
0 1 11 12 3 0 
0 1 4 6 5 0 
0 1 7 4 5 0 
0 1 8 4 5 0 
0 1 9 4 5 0 
0 1 10 4 5 0 
0 1 4 11 5 0 
0 1 4 12 5 0 
0 1 7 4 6 0 
0 1 8 4 6 0 
0 1 9 4 6 0 
0 1 10 4 6 0 
0 1 4 11 6 0 
0 1 4 12 6 0 
0 1 8 7 4 0 
0 1 7 9 4 0 
0 1 7 10 4 0 
0 1 7 11 4 0 
0 1 7 12 4 0 
0 1 8 9 4 0 
0 1 8 10 4 0 
0 1 8 11 4 0 
0 1 8 12 4 0 
0 1 10 9 4 0 
0 1 9 11 4 0 
0 1 9 12 4 0 
0 1 10 11 4 0 
0 1 10 12 4 0 
0 1 11 12 4 0 
0 1 7 6 5 0 
0 1 8 6 5 0 
0 1 9 6 5 0 
0 1 10 6 5 0 
0 1 11 6 5 0 
0 1 12 6 5 0 
0 1 8 7 5 0 
0 1 7 9 5 0 
0 1 7 10 5 0 
0 1 7 11 5 0 
0 1 7 12 5 0 
0 1 8 9 5 0 
0 1 8 10 5 0 
0 1 8 11 5 0 
0 1 8 12 5 0 
0 1 10 9 5 0 
0 1 9 11 5 0 
0 1 9 12 5 0 
0 1 10 11 5 0 
0 1 10 12 5 0 
0 1 12 11 5 0 
0 1 8 7 6 0 
0 1 7 9 6 0 
0 1 7 10 6 0 
0 1 7 11 6 0 
0 1 7 12 6 0 
0 1 8 9 6 0 
0 1 8 10 6 0 
0 1 8 11 6 0 
0 1 8 12 6 0 
0 1 10 9 6 0 
0 1 9 11 6 0 
0 1 9 12 6 0 
0 1 10 11 6 0 
0 1 10 12 6 0 
0 1 12 11 6 0 
0 1 8 7 9 0 
0 1 8 7 10 0 
0 1 8 7 11 0 
0 1 8 7 12 0 
0 1 7 10 9 0 
0 1 7 9 11 0 
0 1 7 9 12 0 
0 1 7 10 11 0 
0 1 7 10 12 0 
0 1 7 12 11 0 
0 1 8 10 9 0 
0 1 8 9 11 0 
0 1 8 9 12 0 
0 1 8 10 11 0 
0 1 8 10 12 0 
0 1 8 12 11 0 
0 1 10 9 11 0 
0 1 10 9 12 0 
0 1 9 12 11 0 
0 1 10 12 11 0 
0 2 4 3 5 0 
0 2 4 3 6 0 
0 2 7 4 3 0 
0 2 8 4 3 0 
0 2 9 4 3 0 
0 2 10 4 3 0 
0 2 11 3 4 0 
0 2 12 3 4 0 
0 2 3 6 5 0 
0 2 7 3 5 0 
0 2 8 3 5 0 
0 2 9 3 5 0 
0 2 10 3 5 0 
0 2 3 11 5 0 
0 2 3 12 5 0 
0 2 7 3 6 0 
0 2 8 3 6 0 
0 2 9 3 6 0 
0 2 10 3 6 0 
0 2 3 11 6 0 
0 2 3 12 6 0 
0 2 8 7 3 0 
0 2 7 9 3 0 
0 2 7 10 3 0 
0 2 7 11 3 0 
0 2 7 12 3 0 
0 2 8 9 3 0 
0 2 8 10 3 0 
0 2 8 11 3 0 
0 2 8 12 3 0 
0 2 10 9 3 0 
0 2 9 11 3 0 
0 2 9 12 3 0 
0 2 10 11 3 0 
0 2 10 12 3 0 
0 2 11 12 3 0 
0 2 4 6 5 0 
0 2 7 4 5 0 
0 2 8 4 5 0 
0 2 9 4 5 0 
0 2 10 4 5 0 
0 2 4 11 5 0 
0 2 4 12 5 0 
0 2 7 4 6 0 
0 2 8 4 6 0 
0 2 9 4 6 0 
0 2 10 4 6 0 
0 2 4 11 6 0 
0 2 4 12 6 0 
0 2 8 7 4 0 
